word,chinese,alias
famed,著名的
familiar,熟悉的
famous,著名的
fancy,奇怪的
fashionable,流行的，时髦的
favourite,最喜爱的
final,最后的
financial,金融的
fine,好的
firm,坚实的
flexible,灵活的
foreign,国外的
formal,正式的
former,以前的
free,自由的
frequent,经常的，频繁的
fundamental,基本的，基础的
further,进一步的
general,普通的，笼统的
genetic,遗传的
geographical,地理学的
global,全球的，整体的
handy,方便的
harmful,有害的
hazardous,冒险的，危险的
healthy,健康的
heavier,更沉重的
heavy,重的
helpful,有用的
herbivorous,食草的
higher,更高的
highly-trained,高度训练的
historical,历史的
least,最少的，最小的
ill,生病的
illegal,非法的
immune,免疫的
important,重要的
impossible,不可能的
inaccurate,不准确的
inadequate,不足的
individual,个人的
industrial,工业的
informative,通知的，有信息的
initial,最初的
inspiring,鼓舞人心的
intact,完好无损的
intelligent,智力的
intensive,强化的
interesting,有趣的
intermediate,中级的
internal,内部的
international,国际的
irregular,不规则的
irritable,易怒的
isolated,与世隔绝的
key,重点的，关键的
latest,最新的
legal,合法的
little-known,不知名的，无名的
loyal,忠诚的
magic,魔术的
magical,难以想象的，不可思议的
magnificent,华丽的
major,主要的
martial,武术的
mature,成熟的
medical,医疗的
mental,精神的
mid,中间的
migratory,迁移的
military,军人的，军队的
miserable,痛苦的
mobile,运动的
moderate,中度的
modern,现代的
musical,音乐的
natural,自然的
negative,消极的
neighbouring,附近的，临近的
nervous,紧张的
noble,高尚的，贵族的
noisy,嘈杂的
non-active,不活跃的
normal,正常的
northern,北方的
objective,客观的
occupational,职业的
Olympic,奥运会的
optic,光学的
optional,可选择的
oral,口语的
organic,有机的
overall,整个的
overhead,头上的
overseas,海外的
parental,父母的
payable,可支付的
perfect,完美的
personal,个人的
physical,肉体的；身体的
pleasant,愉快的
political,政治的
pop,流行的
